year,month,day,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Philadelphia,New York,Boston
2015,4,26,99.33333333333333,73.0,77.66666666666667,79.83333333333333,68.29166666666667,83.45833333333333,42.708333333333336,63.375,56.291666666666664,76.58333333333333,83.79166666666667,68.04166666666667,83.875,86.41666666666667,43.333333333333336,85.5,85.83333333333333,69.20833333333333,86.29166666666667,79.91666666666667,66.20833333333333,65.91666666666667,92.0,79.45833333333333,58.833333333333336,43.833333333333336,45.583333333333336,82.33333333333333
2015,4,27,99.0,77.45833333333333,75.0,76.875,46.166666666666664,64.375,18.333333333333332,55.666666666666664,87.20833333333333,98.41666666666667,78.45833333333333,90.625,92.54166666666667,63.458333333333336,39.791666666666664,65.75,82.79166666666667,60.416666666666664,58.416666666666664,56.375,73.58333333333333,62.625,73.29166666666667,83.95833333333333,61.125,48.625,48.083333333333336,76.54166666666667
2015,4,28,92.45833333333333,71.625,83.95833333333333,72.125,33.208333333333336,46.708333333333336,28.541666666666668,38.083333333333336,66.25,85.33333333333333,56.875,98.08333333333333,86.0,60.5,49.791666666666664,68.375,88.66666666666667,58.208333333333336,66.16666666666667,46.833333333333336,74.41666666666667,80.20833333333333,62.375,91.33333333333333,66.95833333333333,48.25,48.5,78.625
2015,4,29,98.08333333333333,85.58333333333333,84.75,78.04166666666667,33.708333333333336,47.0,30.541666666666668,36.291666666666664,51.208333333333336,65.66666666666667,61.208333333333336,86.33333333333333,68.45833333333333,52.583333333333336,46.916666666666664,67.66666666666667,85.91666666666667,60.208333333333336,63.375,86.58333333333333,72.66666666666667,87.625,66.04166666666667,98.125,68.83333333333333,43.916666666666664,43.833333333333336,74.375
2015,4,30,99.625,70.25,76.45833333333333,72.0,36.208333333333336,48.083333333333336,25.166666666666668,28.0,36.5,47.25,58.25,73.58333333333333,62.625,50.375,41.208333333333336,53.416666666666664,82.41666666666667,59.458333333333336,52.625,79.58333333333333,78.5,86.95833333333333,73.75,93.95833333333333,75.20833333333333,57.458333333333336,50.375,82.0
2015,5,1,98.875,63.75,66.54166666666667,67.95833333333333,35.5,48.375,22.583333333333332,24.0,33.625,67.625,62.958333333333336,70.125,58.0,41.708333333333336,39.916666666666664,62.208333333333336,83.25,55.458333333333336,53.333333333333336,48.416666666666664,69.83333333333333,64.66666666666667,62.083333333333336,77.375,82.41666666666667,56.125,57.125,88.95833333333333
2015,5,2,96.83333333333333,63.333333333333336,84.08333333333333,63.125,37.375,58.041666666666664,21.333333333333332,24.166666666666668,27.958333333333332,75.875,59.791666666666664,62.708333333333336,63.666666666666664,49.833333333333336,58.166666666666664,66.04166666666667,67.0,66.54166666666667,54.416666666666664,53.916666666666664,63.166666666666664,66.54166666666667,65.0,63.458333333333336,58.75,59.583333333333336,60.166666666666664,89.79166666666667
2015,5,3,93.375,59.0,86.29166666666667,60.791666666666664,58.541666666666664,77.70833333333333,23.916666666666668,26.0,41.666666666666664,65.33333333333333,63.666666666666664,59.666666666666664,67.54166666666667,49.916666666666664,55.125,54.458333333333336,53.333333333333336,62.458333333333336,46.583333333333336,54.083333333333336,47.458333333333336,73.0,61.541666666666664,65.16666666666667,52.416666666666664,52.5,50.541666666666664,75.83333333333333
2015,5,4,92.625,58.5,90.75,63.541666666666664,72.83333333333333,78.625,28.583333333333332,45.916666666666664,34.916666666666664,91.875,66.16666666666667,64.625,65.08333333333333,54.291666666666664,58.25,56.958333333333336,63.583333333333336,55.666666666666664,54.333333333333336,49.416666666666664,51.833333333333336,75.70833333333333,58.041666666666664,62.458333333333336,53.125,41.083333333333336,39.125,62.708333333333336
2015,5,5,97.375,71.25,89.25,75.58333333333333,77.125,81.875,32.416666666666664,66.875,78.375,99.66666666666667,68.0,62.416666666666664,76.16666666666667,80.625,41.333333333333336,58.833333333333336,82.79166666666667,55.0,80.33333333333333,54.208333333333336,69.91666666666667,77.20833333333333,63.666666666666664,79.625,63.25,37.75,35.583333333333336,58.708333333333336
